filename,text_length,wer,cer,text_fail,text_fail_percentage,original_entity_count,entity_fail_count,entity_fail_percentage,missing_person_count,extra_person_count,total_review_person_count,word_error_count,micro_averaged_word_error_count,mean_wer,mean_cer,mean_text_fail,total_files,total_text_fail,total_text_length,total_text_fail_percentage,total_entity_fail_count,total_original_entity_count,total_entity_fail_percentage,mean_original_entity_count,mean_missing_person_count,mean_extra_person_count,mean_total_review_person_count,total_review_persons,total_missing_persons
Peacock_2_annotated.csv,5927,0.0013497553568415724,0.0024440823581691603,20,0.33743883921039314,193,72,0.37305699481865284,0,0,23,7.999999999999999,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Peacock_3_annotated.csv,5789,0.0013819312489203662,0.0027684854077748297,25,0.4318535152876144,171,29,0.1695906432748538,0,0,45,8.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Peacock_4_annotated.csv,5698,0.0022815022815022815,0.0033895693706185964,24,0.4212004212004212,167,25,0.1497005988023952,0,0,43,13.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Blickenstaff_3_annotated.csv,1124,0.004448398576512456,0.002531645569620253,5,0.4448398576512456,51,1,0.0196078431372549,0,0,1,5.000000000000001,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Blickenstaff_2_annotated.csv,4205,0.004280618311533888,0.001976084312930685,16,0.380499405469679,172,18,0.10465116279069768,1,0,9,18.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Blickenstaff_1_annotated.csv,4336,0.00761070110701107,0.005420444188612271,34,0.7841328413284132,199,41,0.20603015075376885,2,0,32,33.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Kampelman_3_annotated.csv,3659,0.0038261820169445205,0.0027740923893378364,12,0.32795845859524464,208,14,0.0673076923076923,0,1,34,14.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Kampelman_2_annotated.csv,4389,0.002506265664160401,0.0013365013365013365,10,0.22784233310549099,135,8,0.05925925925925926,0,1,39,11.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Kampelman_1_annotated.csv,4337,0.008070094535393129,0.0037790697674418604,30,0.6917223887479825,257,43,0.16731517509727625,5,0,27,35.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Garner_2_annotated.csv,4458,0.005383580080753701,0.004449493515099877,10,0.22431583669807087,310,28,0.09032258064516129,5,4,67,24.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Garner_1_annotated.csv,4763,0.005878647910980474,0.005346624376982329,12,0.2519420533277346,332,56,0.1686746987951807,0,3,64,27.999999999999996,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Garner_4_annotated.csv,1101,0.0018165304268846503,0.0007922360863537334,3,0.2724795640326975,63,5,0.07936507936507936,0,3,26,2.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Garner_3_annotated.csv,4783,0.0035542546518921177,0.003334703759535882,2,0.0418147606104955,206,34,0.1650485436893204,0,1,47,17.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Miller_1_annotated.csv,5133,0.003311903370348724,0.0038017771097652625,7,0.13637249172024157,218,32,0.14678899082568808,0,1,16,17.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Miller_2_annotated.csv,3451,0.0017386264850767893,0.0018384766907419566,2,0.057954216169226316,87,7,0.08045977011494253,0,0,3,6.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Villwock_1_annotated.csv,3959,0.005809547865622632,0.004843580830816571,14,0.35362465269007326,256,15,0.05859375,1,2,102,23.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Villwock_2_annotated.csv,2541,0.007870916961826053,0.008409189423493715,10,0.39354584809130266,128,25,0.1953125,0,0,5,20.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Sutton_2_annotated.csv,3754,0.004262120404901438,0.003540429419826405,9,0.23974427277570592,284,28,0.09859154929577464,0,3,26,15.999999999999998,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Sutton_1_annotated.csv,4314,0.0018544274455261937,0.0024692553500532586,3,0.06954102920723226,292,18,0.06164383561643835,0,2,28,8.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Scholberg_3_annotated.csv,2717,0.00368052999631947,0.00186084142394822,8,0.2944423997055576,81,3,0.037037037037037035,0,1,9,10.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Scholberg_2_annotated.csv,4387,0.003419193070435377,0.0035056967572304996,4,0.09117848187827673,143,24,0.16783216783216784,0,0,29,15.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
Scholberg_1_annotated.csv,4396,0.0034121929026387624,0.0036928758270503154,5,0.11373976342129208,263,60,0.22813688212927757,0,2,20,15.0,0.004294158553546592,0.005201294418473713,0.004305313881112268,7.8076923076923075,52,406,172560,0.23528048215113584,1196,8186,14.610310285853897,157.42307692307693,0.8653846153846154,0.8461538461538461,25.53846153846154,1328,45
